name,slug,developer,model_type,modality,parameters,context_window,max_output,license,open_weights,release_date,input_price,output_price,api_providers,intelligence
Llama 4 Scout,llama-4-scout,Meta,Multimodal (MoE),"Text, Image → Text",109B total / 17B active (MoE),10M,,Llama 4 Community (EU-restricted),yes,2025,0.1,0.3,"Meta, Together, OpenRouter",10.0
Mistral 7B,mistral-7b,Mistral AI,LLM (dense),Text → Text,7B,32K,,Apache 2.0 (open),yes,2023,0.02,0.03,"Mistral, DeepInfra, OpenRouter, Ollama",
Mistral Large 3,mistral-large-3,Mistral AI,LLM (MoE),Text → Text,675B total / 41B active (MoE),256K,,Apache 2.0 (open),yes,2025,2.00,6.00,"Mistral, OpenRouter",15.9
Mistral NeMo 12B,mistral-nemo-12b,Mistral AI,LLM (dense),Text → Text,12B,128K,,Apache 2.0 (open),yes,2024,0.02,0.04,"Mistral, OpenRouter, Ollama",
NVIDIA Nemotron 3 Nano Omni,nvidia-nemotron-3-nano-omni,NVIDIA,Multimodal (omni),"Text, Image, Audio, Video → Text",30B total / ~3B active (MoE),256K,—,NVIDIA Open Model Agreement,yes,2026,,,"Hugging Face, OpenRouter, NVIDIA NIM",
Phi-4,phi-4,Microsoft,LLM (dense),Text → Text,14B,16K,,MIT (open),yes,2025,0.07,0.14,"Azure, OpenRouter, Ollama",4.9
Qwen3 14B,qwen3-14b,Alibaba,LLM (dense),Text → Text,14B,128K,,Apache 2.0 (open),yes,2025,0.12,0.24,"Alibaba, OpenRouter, Ollama",
Qwen3 235B-A22B,qwen3-235b-a22b,Alibaba,LLM (MoE),Text → Text,235B total / 22B active (MoE),128K,,Apache 2.0 (open),yes,2025,0.45,1.8,"Alibaba, OpenRouter",13
Qwen3 30B-A3B,qwen3-30b-a3b,Alibaba,LLM (MoE),Text → Text,30B total / 3B active (MoE),128K,,Apache 2.0 (open),yes,2025,0.12,0.5,"Alibaba, OpenRouter, Ollama",
Qwen3 32B,qwen3-32b,Alibaba,LLM (dense),Text → Text,32B,128K,,Apache 2.0 (open),yes,2025,0.08,0.28,"Alibaba, OpenRouter, Ollama",12
Qwen3 8B,qwen3-8b,Alibaba,LLM (dense),Text → Text,8B,128K,,Apache 2.0 (open),yes,2025,0.04,0.14,"Alibaba, OpenRouter, Ollama",
